name,pdg_id,charge,mass_mev,mass_err_mev,width_mev,width_err_mev,is_stable,nf,mass_calc_mev,error_pct,factorization,residual_p,is_3_smooth,quarks,I,J,P,C,configuracion,familia,categoria
Sigma(b)+,5222,+,5810.5599999999995,0.25,5.0,0.5,0,11371,5810.5690161031,0.00015516754151568093,11371,11371,False,u|d|b,1,0.5,1,,Ground/Excited,bottom_baryon,BOTTOM_BARYON
Sigma(b)*-,5114,-,5834.74,0.3,10.4,0.8,0,11418,5834.5859665698,0.002639936487313715,2^1 · 3^1 · 1903,1903,False,u|d|b,1,0.5,1,,Ground/Excited,bottom_baryon,BOTTOM_BARYON
Sigma(b)*+,5224,+,5830.320000000001,0.27,9.4,0.5,0,11410,5830.497975001,0.0030525768911335966,2^1 · 3^0 · 5705,5705,False,u|d|b,1,0.5,1,,Ground/Excited,bottom_baryon,BOTTOM_BARYON
Xi(b)-,5132,-,5797.0,0.4,4.18e-10,5.9999999999999995e-12,1,11344,5796.7720445584,0.003932300182852997,2^4 · 3^0 · 709,709,False,u|s|b,0.5,0.5,1,,Ground/Excited,bottom_baryon,BOTTOM_BARYON
Xi(b)0,5232,0,5791.7,0.4,4.47e-10,5e-12,1,11334,5791.662055097399,0.0006551600152015728,2^1 · 3^1 · 1889,1889,False,u|s|b,0.5,0.5,1,,Ground/Excited,bottom_baryon,BOTTOM_BARYON
Omega(b)-,5332,-,6045.8,0.8,4e-10,4e-11,1,11831,6045.628531309099,0.002836162143981571,11831,11831,False,s|s|b,0,0.5,1,,Ground/Excited,bottom_baryon,BOTTOM_BARYON
X(3872),9920443,0,3871.65,0,1.2,0,0,7577,3871.8390145996996,0.004882016703459148,7577,7577,False,c|c|u|d,?,?,?,,tetraquark,tetraquark,TETRAQUARK
Z_c(3900),9000391,+,3887.1,0,28.0,0,0,7607,3887.1689829826996,0.0017746644722211513,7607,7607,False,c|c|u|d,?,?,?,,tetraquark,tetraquark,TETRAQUARK
T_cc+,9000441,+,3874.5,0,0.4,0,0,7582,3874.3940093302,0.0027355960717543267,2^1 · 3^0 · 3791,3791,False,c|c|u|d,?,?,?,,tetraquark,tetraquark,TETRAQUARK
X(3915),9000443,0,3918.4,0,20.0,0,0,7668,3918.3399186947995,0.0015333121988715624,2^2 · 3^3 · 71,71,False,c|c|u|d,?,?,?,,tetraquark,tetraquark,TETRAQUARK
X(3940),9000445,0,3942.0,0,37.0,0,0,7714,3941.8458702154,0.003909938726539132,2^1 · 3^0 · 3857,3857,False,c|c|u|d,?,?,?,,tetraquark,tetraquark,TETRAQUARK
X(3960),9000447,0,3956.0,0,43.0,0,0,7742,3956.1538407062,0.0038887943933226528,2^1 · 3^0 · 3871,3871,False,c|c|s|s,?,?,?,,tetraquark,tetraquark,TETRAQUARK
Z_c(4020),9000393,+,4024.1,0,13.0,0,0,7875,4024.1167005374996,0.0004150129842616579,2^0 · 3^2 · 875,875,False,c|c|u|d,?,?,?,,tetraquark,tetraquark,TETRAQUARK
Z_c(4050),9000395,+,4051.0,0,82.0,0,0,7928,4051.1996446808,0.00492828143174013,2^3 · 3^0 · 991,991,False,c|c|u|d,?,?,?,,tetraquark,tetraquark,TETRAQUARK
Y(4140),9000555,0,4146.5,0,19.0,0,0,8114,4146.2454486554,0.006138944763059418,2^1 · 3^0 · 4057,4057,False,c|c|s|s,?,?,?,,tetraquark,tetraquark,TETRAQUARK
Y(4260),9000449,0,4230.0,0,55.0,0,0,8278,4230.0492758158,0.0011649129030679465,2^1 · 3^0 · 4139,4139,False,c|c|u|d,?,?,?,,tetraquark,tetraquark,TETRAQUARK
Y(4360),9000451,0,4380.0,0,78.0,0,0,8571,4379.7719670231,0.005206232349316605,2^0 · 3^1 · 2857,2857,False,c|c|u|d,?,?,?,,tetraquark,tetraquark,TETRAQUARK
Y(4660),9000453,0,4643.0,0,72.0,0,0,9086,4642.9364242646,0.0013692813999626,2^1 · 3^0 · 4543,4543,False,c|c|u|d,?,?,?,,tetraquark,tetraquark,TETRAQUARK
Z_b(10610),9000557,+,10607.0,0,18.0,0,0,20757,10606.8051241977,0.0018372376949267934,2^0 · 3^1 · 6919,6919,False,b|b|u|d,?,?,?,,tetraquark,tetraquark,TETRAQUARK
Z_b(10650),9000559,+,10652.0,0,15.0,0,0,20845,10651.773031454499,0.002130759908948763,20845,20845,False,b|b|u|d,?,?,?,,tetraquark,tetraquark,TETRAQUARK
P_c(4312),9222112,+,4312.1,0,9.8,0,0,8439,4312.3201061378995,0.005104383894138942,2^0 · 3^1 · 2813,2813,False,u|u|d|c|c,?,?,?,,pentaquark,pentaquark,PENTAQUARK
P_c(4380),9222114,+,4380.0,0,100.0,0,0,8571,4379.7719670231,0.005206232349316605,2^0 · 3^1 · 2857,2857,False,u|u|d|c|c,?,?,?,,pentaquark,pentaquark,PENTAQUARK
P_c(4440),9222116,+,4440.3,0,20.6,0,0,8689,4440.0698426629,0.005183373580625996,8689,8689,False,u|u|d|c|c,?,?,?,,pentaquark,pentaquark,PENTAQUARK
P_c(4457),9222118,+,4457.0,0,6.5,0,0,8722,4456.9328078842,0.0015075637379409004,2^1 · 3^0 · 4361,4361,False,u|u|d|c|c,?,?,?,,pentaquark,pentaquark,PENTAQUARK
