name,pdg_id,charge,mass_mev,mass_err_mev,width_mev,width_err_mev,is_stable,nf,mass_calc_mev,error_pct,factorization,residual_p,is_3_smooth,quarks,I,J,P,C,configuracion,familia,categoria
Delta(1910)-,21112,-,1900.0,50.0,300.0,100.0,0,3718,1899.8940815997998,0.005574652642113314,2^1 · 3^0 · 1859,1859,False,u|d|u/d,1.5,1.5,1,,Decuplete,baryon_decuplet,RESONANCE
Delta(1910)0,21212,0,1900.0,50.0,300.0,100.0,0,3718,1899.8940815997998,0.005574652642113314,2^1 · 3^0 · 1859,1859,False,u|d|u/d,1.5,1.5,1,,Decuplete,baryon_decuplet,RESONANCE
Delta(1910)+,22122,+,1900.0,50.0,300.0,100.0,0,3718,1899.8940815997998,0.005574652642113314,2^1 · 3^0 · 1859,1859,False,u|d|u/d,1.5,1.5,1,,Decuplete,baryon_decuplet,RESONANCE
Delta(1910)++,22222,++,1900.0,50.0,300.0,100.0,0,3718,1899.8940815997998,0.005574652642113314,2^1 · 3^0 · 1859,1859,False,u|d|u/d,1.5,1.5,1,,Decuplete,baryon_decuplet,RESONANCE
Delta(1920)-,21114,-,1920.0,50.0,300.0,60.0,0,3757,1919.8230404976998,0.00921664074480096,3757,3757,False,u|d|u/d,1.5,1.5,1,,Decuplete,baryon_decuplet,RESONANCE
Delta(1920)0,22114,0,1920.0,50.0,300.0,60.0,0,3757,1919.8230404976998,0.00921664074480096,3757,3757,False,u|d|u/d,1.5,1.5,1,,Decuplete,baryon_decuplet,RESONANCE
Delta(1920)+,22214,+,1920.0,50.0,300.0,60.0,0,3757,1919.8230404976998,0.00921664074480096,3757,3757,False,u|d|u/d,1.5,1.5,1,,Decuplete,baryon_decuplet,RESONANCE
Delta(1920)++,22224,++,1920.0,50.0,300.0,60.0,0,3757,1919.8230404976998,0.00921664074480096,3757,3757,False,u|d|u/d,1.5,1.5,1,,Decuplete,baryon_decuplet,RESONANCE
Delta(1930)-,11116,-,1950.0,50.0,300.0,100.0,0,3816,1949.9719783176,0.0014370093538510003,2^3 · 3^2 · 53,53,False,u|d|u/d,1.5,1.5,1,,Decuplete,baryon_decuplet,RESONANCE
Delta(1930)0,11216,0,1950.0,50.0,300.0,100.0,0,3816,1949.9719783176,0.0014370093538510003,2^3 · 3^2 · 53,53,False,u|d|u/d,1.5,1.5,1,,Decuplete,baryon_decuplet,RESONANCE
Delta(1930)+,12126,+,1950.0,50.0,300.0,100.0,0,3816,1949.9719783176,0.0014370093538510003,2^3 · 3^2 · 53,53,False,u|d|u/d,1.5,1.5,1,,Decuplete,baryon_decuplet,RESONANCE
Delta(1930)++,12226,++,1950.0,50.0,300.0,100.0,0,3816,1949.9719783176,0.0014370093538510003,2^3 · 3^2 · 53,53,False,u|d|u/d,1.5,1.5,1,,Decuplete,baryon_decuplet,RESONANCE
Delta(1950)-,1118,-,1930.0,17.5,280.0,50.0,0,3777,1930.0430194197,0.0022289854766803603,2^0 · 3^1 · 1259,1259,False,u|d|u/d,1.5,1.5,1,,Decuplete,baryon_decuplet,RESONANCE
Delta(1950)0,2118,0,1930.0,17.5,280.0,50.0,0,3777,1930.0430194197,0.0022289854766803603,2^0 · 3^1 · 1259,1259,False,u|d|u/d,1.5,1.5,1,,Decuplete,baryon_decuplet,RESONANCE
Delta(1950)+,2218,+,1930.0,17.5,280.0,50.0,0,3777,1930.0430194197,0.0022289854766803603,2^0 · 3^1 · 1259,1259,False,u|d|u/d,1.5,1.5,1,,Decuplete,baryon_decuplet,RESONANCE
Delta(1950)++,2228,++,1930.0,17.5,280.0,50.0,0,3777,1930.0430194197,0.0022289854766803603,2^0 · 3^1 · 1259,1259,False,u|d|u/d,1.5,1.5,1,,Decuplete,baryon_decuplet,RESONANCE
Lambda0,3122,0,1115.683,0.006,2.515e-12,1e-14,1,2183,1115.5106993363,0.015443514304696836,2183,2183,False,u|d|s,0,0.5,1,,Octeto,baryon_octet,BARYON
Lambda(1405)0,13122,0,1405.1,1.15,50.5,2.0,0,2750,1405.247101775,0.010469132090243407,2^1 · 3^0 · 1375,1375,False,u|d|s,0,0.5,1,,Octeto,baryon_octet,BARYON
Lambda(1520)0,3124,0,1519.0,1.0,16.0,1.0,0,2973,1519.1998667552998,0.013157785075695101,2^0 · 3^1 · 991,991,False,u|d|s,0,0.5,1,,Octeto,baryon_octet,BARYON
